                  fc  |                root  |Forward Carriage (FC) detector envelope to hold the torus magnet and the FC detectors  |                                  0*mm 0.0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 88aa88   |            Polycone  |0.0*deg 360*deg 8*counts 2575*mm 2000*mm 132*mm 132*mm 61.5*mm 61.5*mm 197*mm 197*mm 2575*mm 3500*mm 4800*mm 5000*mm 5000*mm 5000*mm 5000*mm 5000*mm 1206*mm 1556*mm 2406*mm 2753.7*mm 2753.7*mm 4912.3*mm 4912.3*mm 8500*mm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
         PMTRow_0_n1  |                  fc  |             PMT mother volume  |          -44.052953*cm 13.250000*cm 695.098359*cm  | ordered: yzx 0.0*deg -90.0*deg 25.0*deg  | 444444   |                 Box  |                                       2.6*cm 2.6*cm 1.35*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          AlTop_0_n1  |         PMTRow_0_n1  |             PMT mother volume  |               0.000000*cm 2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       AlBottom_0_n1  |         PMTRow_0_n1  |             PMT mother volume  |              0.000000*cm -2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
         AlLeft_0_n1  |         PMTRow_0_n1  |             PMT mother volume  |               2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        AlRight_0_n1  |         PMTRow_0_n1  |             PMT mother volume  |              -2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
         Socket_0_n1  |         PMTRow_0_n1  |             PMT mother volume  |               0.000000*cm 0.000000*cm 1.215000*cm  |                                   0 0 0  | ff9900   |                 Box  |                                      2.5*cm 2.5*cm 0.135*cm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
         Window_0_n1  |         PMTRow_0_n1  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.275000*cm  |                                   0 0 0  | 99bbff   |                 Box  |                        2.5*cm 2.5*cm 0.07500000000000001*cm  |         Glass_H8500  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
   Photocathode_0_n1  |         PMTRow_0_n1  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.150000*cm  |                                   0 0 0  | 999966   |                 Box  |                                     2.45*cm 2.45*cm 0.05*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
         PMTRow_0_n2  |                  fc  |             PMT mother volume  |           -44.052953*cm 7.950000*cm 695.098359*cm  | ordered: yzx 0.0*deg -90.0*deg 25.0*deg  | 444444   |                 Box  |                                       2.6*cm 2.6*cm 1.35*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          AlTop_0_n2  |         PMTRow_0_n2  |             PMT mother volume  |               0.000000*cm 2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       AlBottom_0_n2  |         PMTRow_0_n2  |             PMT mother volume  |              0.000000*cm -2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
         AlLeft_0_n2  |         PMTRow_0_n2  |             PMT mother volume  |               2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        AlRight_0_n2  |         PMTRow_0_n2  |             PMT mother volume  |              -2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
         Socket_0_n2  |         PMTRow_0_n2  |             PMT mother volume  |               0.000000*cm 0.000000*cm 1.215000*cm  |                                   0 0 0  | ff9900   |                 Box  |                                      2.5*cm 2.5*cm 0.135*cm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
         Window_0_n2  |         PMTRow_0_n2  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.275000*cm  |                                   0 0 0  | 99bbff   |                 Box  |                        2.5*cm 2.5*cm 0.07500000000000001*cm  |         Glass_H8500  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
   Photocathode_0_n2  |         PMTRow_0_n2  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.150000*cm  |                                   0 0 0  | 999966   |                 Box  |                                     2.45*cm 2.45*cm 0.05*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
         PMTRow_0_n3  |                  fc  |             PMT mother volume  |           -44.052953*cm 2.650000*cm 695.098359*cm  | ordered: yzx 0.0*deg -90.0*deg 25.0*deg  | 444444   |                 Box  |                                       2.6*cm 2.6*cm 1.35*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          AlTop_0_n3  |         PMTRow_0_n3  |             PMT mother volume  |               0.000000*cm 2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       AlBottom_0_n3  |         PMTRow_0_n3  |             PMT mother volume  |              0.000000*cm -2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
         AlLeft_0_n3  |         PMTRow_0_n3  |             PMT mother volume  |               2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        AlRight_0_n3  |         PMTRow_0_n3  |             PMT mother volume  |              -2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
         Socket_0_n3  |         PMTRow_0_n3  |             PMT mother volume  |               0.000000*cm 0.000000*cm 1.215000*cm  |                                   0 0 0  | ff9900   |                 Box  |                                      2.5*cm 2.5*cm 0.135*cm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
         Window_0_n3  |         PMTRow_0_n3  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.275000*cm  |                                   0 0 0  | 99bbff   |                 Box  |                        2.5*cm 2.5*cm 0.07500000000000001*cm  |         Glass_H8500  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
   Photocathode_0_n3  |         PMTRow_0_n3  |             PMT mother volume  |              0.000000*cm 0.000000*cm -1.150000*cm  |                                   0 0 0  | 999966   |                 Box  |                                     2.45*cm 2.45*cm 0.05*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
         PMTRow_0_n4  |                  fc  |             PMT mother volume  |          -44.052953*cm -2.650000*cm 695.098359*cm  | ordered: yzx 0.0*deg -90.0*deg 25.0*deg  | 444444   |                 Box  |                                       2.6*cm 2.6*cm 1.35*cm  |           Gas_inGap  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
          AlTop_0_n4  |         PMTRow_0_n4  |             PMT mother volume  |               0.000000*cm 2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
       AlBottom_0_n4  |         PMTRow_0_n4  |             PMT mother volume  |              0.000000*cm -2.550000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      2.6*cm 0.05*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
         AlLeft_0_n4  |         PMTRow_0_n4  |             PMT mother volume  |               2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
        AlRight_0_n4  |         PMTRow_0_n4  |             PMT mother volume  |              -2.550000*cm 0.000000*cm 0.000000*cm  |                                   0 0 0  | 999999   |                 Box  |                                      0.05*cm 2.5*cm 1.35*cm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
         Socket_0_n4  |         PMTRow_0_n4  |             PMT mother volume  |               0.000000*cm 0.000000*cm 1.215000*cm  |                                   0 0 0  | ff9900   |                 Box  |                                      2.5*cm 2.5*cm 0.135*cm  |               G4_Cu  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
