      AerogelTiles |       fc | 0.000000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Stl |  | 
          Aluminum |       fc | 0.000000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Stl |  | 
              CFRP |       fc | 0.000000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Stl |  | 
             Glass |       fc | 0.000000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Stl |  | 
    TedlarWrapping |       fc | 0.000000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Stl |  | 
       PMTRow_0_n1 |       fc | -44.052953*cm 13.250000*cm 695.098359*cm | ordered: yzx 0.0*deg -90.0*deg 25.0*deg |      Box | 2.6*cm 2.6*cm 1.35*cm  | 
       AlLeft_0_n1 | PMTRow_0_n1 | 2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
      AlRight_0_n1 | PMTRow_0_n1 | -2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
        AlTop_0_n1 | PMTRow_0_n1 | 0.000000*cm 2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
     AlBottom_0_n1 | PMTRow_0_n1 | 0.000000*cm -2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
       Window_0_n1 | PMTRow_0_n1 | 0.000000*cm 0.000000*cm -1.275000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.07500000000000001*cm  | 
 Photocathode_0_n1 | PMTRow_0_n1 | 0.000000*cm 0.000000*cm -1.150000*cm | 0 0 0 |      Box | 2.45*cm 2.45*cm 0.05*cm  | 
       Socket_0_n1 | PMTRow_0_n1 | 0.000000*cm 0.000000*cm 1.215000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.135*cm  | 
       PMTRow_0_n2 |       fc | -44.052953*cm 7.950000*cm 695.098359*cm | ordered: yzx 0.0*deg -90.0*deg 25.0*deg |      Box | 2.6*cm 2.6*cm 1.35*cm  | 
       AlLeft_0_n2 | PMTRow_0_n2 | 2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
      AlRight_0_n2 | PMTRow_0_n2 | -2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
        AlTop_0_n2 | PMTRow_0_n2 | 0.000000*cm 2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
     AlBottom_0_n2 | PMTRow_0_n2 | 0.000000*cm -2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
       Window_0_n2 | PMTRow_0_n2 | 0.000000*cm 0.000000*cm -1.275000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.07500000000000001*cm  | 
 Photocathode_0_n2 | PMTRow_0_n2 | 0.000000*cm 0.000000*cm -1.150000*cm | 0 0 0 |      Box | 2.45*cm 2.45*cm 0.05*cm  | 
       Socket_0_n2 | PMTRow_0_n2 | 0.000000*cm 0.000000*cm 1.215000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.135*cm  | 
       PMTRow_0_n3 |       fc | -44.052953*cm 2.650000*cm 695.098359*cm | ordered: yzx 0.0*deg -90.0*deg 25.0*deg |      Box | 2.6*cm 2.6*cm 1.35*cm  | 
